Variable,Coefficient,Abs_Coefficient
checking_status_no checking,-0.5873434387615126,0.5873434387615126
housing_rent,0.5309614332282345,0.5309614332282345
credit_history_critical/other existing credit,-0.5202065325681297,0.5202065325681297
installment_commitment,0.3940501464449455,0.3940501464449455
property_magnitude_no known property,0.38879128799131096,0.38879128799131096
housing_own,0.3689566364440427,0.3689566364440427
other_payment_plans_none,-0.34346667471793674,0.34346667471793674
credit_amount,0.34270591106046483,0.34270591106046483
duration,0.32981023350829847,0.32981023350829847
savings_status_no known savings,-0.3004691209598925,0.3004691209598925
personal_status_male single,-0.29763452328203627,0.29763452328203627
foreign_worker_yes,0.27384015392841465,0.27384015392841465
savings_status_>=1000,-0.2565577592134102,0.2565577592134102
purpose_used car,-0.24332526712985975,0.24332526712985975
purpose_new car,0.23376886943619918,0.23376886943619918
purpose_education,0.22922379932565595,0.22922379932565595
other_parties_guarantor,-0.21191728011495162,0.21191728011495162
employment_4<=X<7,-0.1838633113781233,0.1838633113781233
checking_status_<0,0.18239364470645472,0.18239364470645472
savings_status_<100,0.1617282334001019,0.1617282334001019
own_telephone_yes,-0.15794200938279956,0.15794200938279956
credit_history_existing paid,-0.14720646496602663,0.14720646496602663
num_dependents,0.1311612742518463,0.1311612742518463
employment_<1,0.12916466125105125,0.12916466125105125
employment_unemployed,0.12655969031627118,0.12655969031627118
other_parties_none,-0.11181028363113021,0.11181028363113021
credit_history_delayed previously,-0.10452116506920467,0.10452116506920467
other_payment_plans_stores,-0.10012784369569115,0.10012784369569115
personal_status_male div/sep,0.09659145868856403,0.09659145868856403
purpose_repairs,0.0950535863363396,0.0950535863363396
existing_credits,0.08727848837279269,0.08727848837279269
purpose_radio/tv,-0.08461015188904372,0.08461015188904372
purpose_other,-0.08343615106160504,0.08343615106160504
checking_status_>=200,-0.08088945224109442,0.08088945224109442
purpose_retraining,-0.07507968050436956,0.07507968050436956
property_magnitude_real estate,-0.07319121886457274,0.07319121886457274
job_skilled,0.07271234018135901,0.07271234018135901
credit_history_no credits/all paid,0.06847542658910573,0.06847542658910573
job_unskilled resident,0.06286938147394652,0.06286938147394652
job_unemp/unskilled non res,-0.058173064997031725,0.058173064997031725
age,-0.05804661903363436,0.05804661903363436
savings_status_500<=X<1000,-0.04615002896362659,0.04615002896362659
purpose_business,-0.03609843222249863,0.03609843222249863
property_magnitude_car,0.026966584611551304,0.026966584611551304
personal_status_male mar/wid,-0.024256956691387083,0.024256956691387083
employment_>=7,0.023523745769204747,0.023523745769204747
purpose_furniture/equipment,0.018742209127055695,0.018742209127055695
residence_since,0.010841625673681838,0.010841625673681838
